label_0	label_1	label_2	label_3	label_4	label_5	label_6	label_7	label_8	label_9	label_10	label_11	text_a
0	1	0	0	0	0	1	0	0	0	0	0	岁暮忆隐直,岁穷浩长叹，心事如波澜。高卧老将至，相思天正寒。浮云纷霰雪，陋巷独瓢箪。里饭非无意，悠悠行路难。
0	1	1	0	0	0	0	0	0	0	0	1	正月三日小饯施克和于惠山酒间克和诵刘后村元日诗为令因用其韵再致别意是日予奉老母观新精舍故别设于知微山房云,精舍初成近惠泉，几回辰至起僧眠。新正屈指今三日，旧约惊心又一年。慈母板舆应偶尔，佳宾草饭乃居然。凭君莫问山中事，万里青云彩鹢前。
0	0	0	0	0	0	0	1	0	0	0	1	除夜闻雷,牢落长为客，残年独拥衾。灯分寒夜火，雨过震馀阴。捣药滋玄发，书符狷黑祲。相看故乡泪，不敢效吴音。
0	0	1	1	0	0	0	0	0	0	0	0	登光寺塔,凯之曾说越中行，塔级亲登眼始惊。画合千山翠浓淡，枝分万水练纵横。树头低压昏烟重，鹤背斜拖夕照明。疑是丹成生羽翼，泠然云表御风清。
1	1	0	0	0	0	0	0	0	0	0	1	友人饷粟书感,年去贫来不自由，暗伤颜面向交游。他乡且斗孤身健，此日徒悬西壁愁。纸裹已空难爱惜，瓶储欲罄未知谋。何缘忽致监河粟，莫是枯鳞尚有求。
0	1	0	0	0	0	0	0	0	1	0	0	浣溪沙 秋闺,新月桐帘影上钩。露寒庭院一天秋。金风飒飒夜悠悠。砧杵带愁敲远梦，雁声衔恨落高楼。碧云流断暮江幽。
0	0	0	0	0	0	1	0	0	0	0	1	三江舟中与陈德衡酌别方起首两句未及成章而潮生解缆归矣后足首寄之,一棹三江候早潮，方山谁道玉人遥。烹鸡载酒情何限，倚马成诗思欲飘。白雁声寒天际雨，丹枫影落渡头桥。悬知此别相思地，春到梅枝雪未消。
1	1	0	0	0	1	0	0	0	0	0	1	生日偶成酬韩孟郁见赠,忽忽流光五十驰，是非真觉逐年知。所经荣贱都非我，误绊风尘好为谁。蒲柳未秋零已早，菊松有约赴难期。与君且醉他乡酒，莫遣繁忧上鬓丝。
1	1	0	0	0	0	0	0	0	0	0	1	自巴达威亚至茂物,前村刈稻后分秧，南陇初花北半黄。猛记明宵当祀灶，水田万罫是他乡。
0	0	0	0	0	1	0	0	0	0	0	1	游报恩寺,荒畛通云岫，烟萝敞绀扉。画梁云气尽，网户雨丝飞。僧寂鸣钟罢，林荒宿鸟归。一灯仍自照，惆怅恋残晖。
0	0	0	0	1	0	1	0	0	0	0	0	寄沈尹四首（癸丑秋） 其一,寞寞山中居，望君出山坂。绿叶脱稠枝，涸水归低涧。萧萧秋已深，冉冉岁将晏。相思久不瞻，清泪落如霰。欲将尺素书，天高少鸿雁。
1	0	0	0	0	0	0	0	0	0	0	1	次韵答王世赏夜雨感怀,何处吟诗成不寐，夜窗残梦雨来时。清闻木叶随空远，暝觉山钟到枕迟。千里关河游子恨，一年生事窭人悲。万间大厦君须作，不用归心绕故篱。
0	0	1	1	0	0	0	0	0	0	0	0	县斋书事寄张世贤,朝衙群吏集，戢戢同队鱼。暮衙群吏散，翩翩若惊凫。归来坐虚室，开编对璠玙。启户阒无人，清风入吾庐。持杯邀明月，大嚼时与俱。跰跹步松阴，对影聊相娱。嗟予懒惰久，阔略与世疏。故人隔清湘，怀抱何由舒。为问鲁山翁，此意今何如。
0	0	1	1	0	1	0	0	0	0	0	0	郊村独游,岁闰堪怜历候迟，出门惟与野云期。惊鱼掷上绿荷芰，栖鸟啄馀红荔枝。末路可能长薄命，修途应合有良时。市头相者休相戏，蹙膝先生半自知。
0	0	0	0	0	0	0	0	0	1	0	1	追和朽庵和尚乐归田园十咏 其一 归去来兮至觉今是而昨非次韵,久在樊笼始见几，高人只是急流归。畏荣未必知吾意，忤物何妨与世违。戢羽岂容寻往迹，悬车自合敛馀辉。却嫌此老还多事，形影神中辩是非。
